StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,questions_1_DO,questions_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the driver of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,"Please rate the extent to which you agree with the following statement: Autonomous robocars should be more aware, more attentive and more reactive than human drivers. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,questions_1 - Display Order,questions_2 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
2022-11-14 09:43:41,2022-11-14 09:45:13,0,204.111.129.89,100,92,1,2022-11-14 09:45:14,R_1Hdzuxk6zPY87Ij,,,,,37.3053,-79.9252,anonymous,EN,1,2,2,0,0,11.95,0,0,0,13.308,0,100,0,0,0,0,0,0,79,,1,74,1,,32,2,,Q90|vA_sue|defective|negligence|vB_sue,Q71|capability|counterfactual|fault
2022-11-14 09:43:18,2022-11-14 09:45:32,0,72.183.254.50,100,133,1,2022-11-14 09:45:32,R_1N3zVQou1xsKaHg,,,,,31.7703,-106.3006,anonymous,EN,1,2,2,0,0,11.955,0,0,0,11.188,0,100,0,0,0,0,0,0,50,1,1,0,2,,35,4,,Q90|defective|negligence|vA_sue|vB_sue,Q71|capability|counterfactual|fault
2022-11-14 09:43:16,2022-11-14 09:45:53,0,73.148.154.63,100,156,1,2022-11-14 09:45:54,R_RsJEqS98KXYkCDT,,,,,29.7959,-81.2631,anonymous,EN,1,2,2,0,0,12.416,0,0,0,11.163,0,93,0,3,0,9,5,64,62,,1,44,1,,62,6,,Q90|vA_sue|vB_sue|negligence|defective,Q71|fault|capability|counterfactual
2022-11-14 09:43:54,2022-11-14 09:45:59,0,172.58.242.4,100,125,1,2022-11-14 09:45:59,R_31Yk5qjJ43hHtdA,,,,,38.9267,-76.9758,anonymous,EN,1,2,2,0,0,16.753,0,0,0,13.652,0,100,0,0,0,0,0,100,100,,1,20,1,,43,7,,Q90|vB_sue|defective|vA_sue|negligence,Q71|fault|counterfactual|capability
2022-11-14 09:43:17,2022-11-14 09:46:05,0,24.155.213.216,100,168,1,2022-11-14 09:46:06,R_2EnsZjI1H5zpLnn,,,,,31.5338,-97.1923,anonymous,EN,1,2,2,0,0,22.082,0,0,0,11.302,0,100,0,0,0,0,5,100,96,,1,17,2,,49,3,,Q90|vA_sue|defective|negligence|vB_sue,Q71|fault|capability|counterfactual
2022-11-14 09:44:20,2022-11-14 09:46:13,0,71.163.19.21,100,112,1,2022-11-14 09:46:13,R_9KPxi0zRVFPflMR,,,,,38.8476,-77.3281,anonymous,EN,1,2,2,0,0,13.222,0,0,0,10.686,0,100,7,15,13,18,15,30,37,,2,32,1,,31,4,,Q90|negligence|vA_sue|vB_sue|defective,Q71|capability|fault|counterfactual
2022-11-14 09:44:02,2022-11-14 09:46:32,0,64.67.86.137,100,150,1,2022-11-14 09:46:32,R_1jP1dg23dlyeu2c,,,,,40.1846,-76.3015,anonymous,EN,1,2,2,0,0,11.853,0,0,0,10.915,0,100,0,0,0,84,17,71,91,,1,0,2,,31,3,,Q90|vA_sue|vB_sue|defective|negligence,Q71|counterfactual|capability|fault
2022-11-14 09:46:31,2022-11-14 09:46:57,0,73.237.103.81,100,25,1,2022-11-14 09:46:58,R_3nxE0FTc1xS2AGw,,,,,34.2015,-84.4222,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
