StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,countf,countf_cat,vA_sue_AV_1,vB_sue_AV_1,defective_AV_1,capability_AV_1,superhuman_1,comp1,comp_accident,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,questions_intro_DO,countf_DO,questions_1_DO,questions_2_DO
10/7/22 15:27,10/7/22 15:32,0,76.95.107.239,100,302,1,10/7/22 15:32,R_2Pz1yVYrAbeR98u,,,,,34.1856,-119.2137,anonymous,EN,1,2,2,0,0,32.892,0,0,0,13.787,0,the human occupant might've been able to stop the car before it got hit by the other vehicle.,1,19,18,72,79,82,1,1,45,99,2,,30,3,,Q148,countf,defective_AV|vA_sue_AV|vB_sue_AV,Q122|capability_AV
10/7/22 15:26,10/7/22 15:35,0,208.200.2.131,100,555,1,10/7/22 15:35,R_1mPkDWfPBaUtWSj,,,,,39.085,-77.0932,anonymous,EN,1,2,2,0,0,23.281,0,0,0,13.242,0,good,0,72,61,69,75,67,2,1,74,71,2,,30,5,,Q148,countf,vA_sue_AV|vB_sue_AV|defective_AV,Q122|capability_AV
10/7/22 15:37,10/7/22 15:40,0,167.142.114.17,100,201,1,10/7/22 15:40,R_2zf0TFARUlTKRNO,,,,,41.2946,-92.6442,anonymous,EN,1,2,2,0,0,15.55,0,0,0,11.429,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then they might have seen the high speed of Vehicle A and stayed stopped for longer.",1,99,36,19,65,75,1,1,70,53,1,,33,6,,Q148,countf,vB_sue_AV|defective_AV|vA_sue_AV,Q122|capability_AV
10/7/22 15:36,10/7/22 15:41,0,70.163.200.63,100,308,1,10/7/22 15:41,R_xAuh1ZqlV2O6uiZ,,,,,33.5658,-112.1724,anonymous,EN,1,2,2,0,0,32.697,0,0,0,13.484,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then there is a slight possibility the accident could have been avoided if the human in Vehicle B had seen Vehicle A approaching quickly and waited for them to pass.",1,100,0,0,15,75,1,1,35,50,2,,35,3,,Q148,countf,vA_sue_AV|vB_sue_AV|defective_AV,Q122|capability_AV
10/7/22 15:39,10/7/22 15:43,0,98.97.1.206,100,246,1,10/7/22 15:43,R_2n8rnrRvrNVEvvj,,,,,37.751,-97.822,anonymous,EN,1,2,2,0,0,32.949,0,0,0,12.031,0,They may have missed being hit a person could have stopped the car faster than a machine.,1,100,62,31,60,80,1,1,28,55,1,,39,1,,Q148,countf,vB_sue_AV|vA_sue_AV|defective_AV,Q122|capability_AV
10/7/22 15:47,10/7/22 15:52,0,173.167.200.129,100,285,1,10/7/22 15:52,R_2pYIEraoTWkLWMJ,,,,,38.8732,-77.1151,anonymous,EN,1,2,2,0,0,23.015,0,0,0,11.62,0,The occupant of vehicle B could have turned or stopped his vehicle when vechicle A approached. preventing the incident or reducing the damage done to occupant B. ,1,76,84,70,32,15,1,1,61,86,1,,29,4,,Q148,countf,defective_AV|vA_sue_AV|vB_sue_AV,Q122|capability_AV
10/7/22 15:53,10/7/22 15:57,0,73.122.145.80,100,212,1,10/7/22 15:57,R_1gbiOWgXasR4OPY,,,,,33.8332,-84.6031,anonymous,EN,1,2,2,0,0,12.142,0,0,0,11.398,0,"If the human occupant of Vehicle B had been driving a regular Vehicle instead, then they could have potentially stopped if they noticed A was not going to stop. ",1,76,6,9,22,70,1,1,45,26,2,,27,4,,Q148,countf,vB_sue_AV|defective_AV|vA_sue_AV,Q122|capability_AV
10/7/22 15:56,10/7/22 15:59,0,71.226.30.113,100,195,1,10/7/22 15:59,R_12r7PDCbc31z5yG,,,,,28.9274,-81.9819,anonymous,EN,1,2,2,0,0,22.737,0,0,0,10.762,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then they could have been alert and swerved out of the way of the car running the stop sign.",1,100,8,13,25,89,1,1,28,50,1,,36,1,,Q148,countf,vB_sue_AV|defective_AV|vA_sue_AV,Q122|capability_AV
10/7/22 15:58,10/7/22 16:04,0,73.235.55.57,100,319,1,10/7/22 16:04,R_2Ytf3RSl9jdJ31B,,,,,36.8613,-119.7669,anonymous,EN,1,2,2,0,0,20.905,0,0,0,12.737,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then he may have been able to suspect that Vehicle A was going too fast to stop, and thus waited at the stop sign to ensure it was safe to continue",1,100,0,0,20,60,1,1,25,40,1,,34,3,,Q148,countf,defective_AV|vB_sue_AV|vA_sue_AV,Q122|capability_AV
10/7/22 15:58,10/7/22 16:04,0,50.200.71.230,100,371,1,10/7/22 16:04,R_3KpxPzIKiP0SA6T,,,,,42.3695,-83.4769,anonymous,EN,1,2,2,0,0,31.279,0,0,0,11.475,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then the occupant driving defensively could have avoided the accident.",1,100,60,81,80,81,1,1,60,80,1,,59,4,,Q148,countf,vB_sue_AV|defective_AV|vA_sue_AV,Q122|capability_AV
